Input (Misspelled),Expected Output,Predicted Output (Top-1),Top-3 Predictions,Correct?
sheaw,shewa,shewa,"shewa, chew, shooi",✅
haevenlike,heavenlike,heavenlike,"heavenlike, penlike, canonlike",✅
hye,hyle,hyle,"hyle, hyenanchin, jackye",✅
eeld,neeld,neeld,"neeld, old, heregeld",✅
mzodendron,myzodendron,myzodendron,"myzodendron, trochodendron, dendrocygna",✅
caambuca,cambuca,cambuca,"cambuca, caam, caduca",✅
superarrognt,superarrogant,superarrogant,"superarrogant, superordinate, superstrong",✅
daunthr,daunter,daunter,"daunter, downthrust, gauntly",✅
dinsew,disnew,disnew,"disnew, berinse, chew",✅
wehrry,wherry,wherry,"wherry, carry, remarry",✅
outposon,outpoison,outpoison,"outpoison, outplease, postpositive",✅
nectarved,nectaried,nectaried,"nectaried, semistarved, connectable",✅
porle,porule,porule,"porule, portless, porbeagle",✅
reaffcict,reafflict,reafflict,"reafflict, reaffirmance, real",✅
cartdlaginous,cartilaginous,cartilaginous,"cartilaginous, cartilaginean, cartel",✅
toothpalte,toothplate,toothplate,"toothplate, toothpaste, toothwork",✅
kvuphar,kuphar,kuphar,"kuphar, uphasp, kvass",✅
xdroplet,droplet,droplet,"droplet, grouplet, dropout",✅
chevalikne,chevaline,chevaline,"chevaline, chevron, revaluate",✅
pseudonqeuroptera,pseudoneuroptera,pseudoneuroptera,"pseudoneuroptera, pseudoankylosis, pseudozealot",✅
predelegftion,predelegation,predelegation,"predelegation, predella, predeliberately",✅
felleted,pelleted,pelleted,"pelleted, velated, fellic",✅
neurouile,neuropile,neurale,"neurale, neuropile, neuronal",❌
rjemissness,remissness,remissness,"remissness, treelessness, bassness",✅
fozrfault,forfault,forfault,"forfault, envault, defaulture",✅
uarad,garad,garad,"garad, bicrofarad, parao",✅
couterprinciple,counterprinciple,counterprinciple,"counterprinciple, disprince, princeps",✅
mescherian,miescherian,miescherian,"miescherian, escherichia, pterian",✅
intrarcualis,interarcualis,interarcualis,"interarcualis, intramural, intraprostatic",✅
discomosedness,discomposedness,discomposedness,"discomposedness, discommendableness, massedness",✅
prtialness,partialness,partialness,"partialness, lealness, coequalness",✅
fiqity,finity,finity,"finity, pity, privity",✅
lactoglobupin,lactoglobulin,lactoglobulin,"lactoglobulin, pantoglottism, cyanomethemoglobin",✅
acuieolus,aculeolus,aculeolus,"aculeolus, peribolus, endonucleolus",✅
pyroxlyze,pyrolyze,pyrolyze,"pyrolyze, pyrolite, pyrogen",✅
runefolk,runefolk,runefolk,"runefolk, fisherfolk, runelike",✅
experieonceable,experienceable,experienceable,"experienceable, experiencible, expellable",✅
auduboinstic,audubonistic,audubonistic,"audubonistic, amboinese, faunistic",✅
cephlaodiscus,cephalodiscus,cephalodiscus,"cephalodiscus, acephalus, cephaloclast",✅
unsecrey,unsecrecy,unsecrecy,"unsecrecy, unsugared, unscarfed",✅
saisfiedly,satisfiedly,satisfiedly,"satisfiedly, gratifiedly, serriedly",✅
cajalytically,catalytically,catalytically,"catalytically, cabalistically, entophytically",✅
seropurglent,seropurulent,seropurulent,"seropurulent, sero, crapulent",✅
anthribiade,anthribidae,anthribidae,"anthribidae, anthranil, unthreaded",✅
achgromaticity,achromaticity,achromaticity,"achromaticity, achromatization, achromatosis",✅
abirlinn,birlinn,birlinn,"birlinn, abide, spiderling",✅
abrgsh,abrash,abrogate,"abrogate, abrash, afresh",❌
aockram,lockram,lockram,"lockram, sickroom, harmonogram",✅
stirnged,stringed,stringed,"stringed, strange, starnel",✅
lhz,liz,liz,"liz, lousy, lasso",✅
hdterotic,heterotic,heterotic,"heterotic, heteroerotic, autoerotic",✅
stpahyloraphic,staphyloraphic,staphyloraphic,"staphyloraphic, xylographic, chorographic",✅
suplhazide,sulphazide,sulphazide,"sulphazide, sulphoamide, supinate",✅
skvward,skyward,skyward,"skyward, wayward, leftward",✅
polianthhs,polianthes,polianthes,"polianthes, zoanthus, folial",✅
requierr,requirer,requirer,"requirer, recur, requench",✅
cintchonize,cinchonize,cinchonize,"cinchonize, inthronize, metaphonize",✅
elisted,enlisted,enlisted,"enlisted, wasted, busted",✅
uneasingness,unceasingness,unceasingness,"unceasingness, unwiseness, insaneness",✅
ecuadorina,ecuadorian,ecuadorian,"ecuadorian, doria, cantina",✅
psyckognosy,psychognosy,psychognosy,"psychognosy, psychokinesia, psychophobia",✅
mauy,many,mah,"mah, many, marc",❌
undegeneray,undegeneracy,undegeneracy,"undegeneracy, nondegeneration, general",✅
pylorboptosis,pyloroptosis,pyloroptosis,"pyloroptosis, hysteroptosis, splanchnoptosia",✅
sapucker,sapsucker,sapsucker,"sapsucker, slicker, shocker",✅
backsettpler,backsettler,backsettler,"backsettler, backslapper, backfiller",✅
tqansmuscle,transmuscle,transmuscle,"transmuscle, corpuscle, muscid",✅
wasqhtail,washtail,washtail,"washtail, tagtail, betail",✅
plumulaate,plumulate,plumulate,"plumulate, tremulate, plumed",✅
esphonal,esiphonal,esiphonal,"esiphonal, siphonate, gonal",✅
extrpleural,extrapleural,extrapleural,"extrapleural, extravisceral, extramodal",✅
teewhap,teewhaap,teewhaap,"teewhaap, teaboy, teen",✅
corpuscple,corpuscle,corpuscle,"corpuscle, corpulentness, corporately",✅
nnoexpiation,nonexpiation,nonexpiation,"nonexpiation, taliation, inexpectation",✅
excisbale,excisable,excisable,"excisable, exscind, excipular",✅
inan,ivan,inanity,"inanity, ivan, prefinance",❌
crossbolt,crossbolt,crossbolt,"crossbolt, crosswort, crotal",✅
lifeclessly,lifelessly,lifelessly,"lifelessly, soullessly, trustlessly",✅
intolerabiliyt,intolerability,intolerability,"intolerability, inapplicability, controllability",✅
ocuntershaft,countershaft,countershaft,"countershaft, aftership, starcraft",✅
unadvntured,unadventured,unadventured,"unadventured, unadvertency, unventured",✅
nondegeneratino,nondegeneration,nondegeneration,"nondegeneration, undegeneracy, nondemonstration",✅
alt,halt,salt,"salt, halt, alod",❌
tnuboovarial,tuboovarial,tuboovarial,"tuboovarial, commissarial, manurial",✅
reunitoin,reunition,reunition,"reunition, reunify, loin",✅
methylnaphthalne,methylnaphthalene,methylnaphthalene,"methylnaphthalene, naphthaline, naphthoic",✅
codisjutct,codisjunct,codisjunct,"codisjunct, quiddist, cosubject",✅
johanine,johannine,johannine,"johannine, planineter, join",✅
dsarmament,disarmament,disarmament,"disarmament, disarmed, disarming",✅
sidelnie,sideline,sideline,"sideline, strideleg, sie",✅
suingability,singability,singability,"singability, laminability, kissability",✅
dudishnss,dudishness,dudishness,"dudishness, mopishness, brutishness",✅
qaueously,aqueously,aqueously,"aqueously, plenteously, generously",✅
fresacde,frescade,frescade,"frescade, frenatae, freelage",✅
mooknlighty,moonlighty,moonlighty,"moonlighty, unflighty, light",✅
anticipatroily,anticipatorily,anticipatorily,"anticipatorily, anticapitalist, antiglare",✅
dipeteral,dipteral,dipteral,"dipteral, dipterologist, triliteral",✅
miltoniut,miltonist,miltonist,"miltonist, piltock, diammonium",✅
autocolny,autocolony,autocolony,"autocolony, autecologic, autocratic",✅
monocultiral,monocultural,monocultural,"monocultural, mongoloid, monolocular",✅
readditon,readdition,readdition,"readdition, proaddition, subadditive",✅
dtemmatiform,stemmatiform,stemmatiform,"stemmatiform, stratiform, pedatiform",✅
bajqueter,banqueter,banqueter,"banqueter, banquet, aquameter",✅
cavpodetus,carpodetus,carpodetus,"carpodetus, boletus, spode",✅
stbo,stob,setibo,"setibo, postbox, stob",❌
cizil,civil,civil,"civil, vigil, coistril",✅
ebullgient,ebullient,ebullient,"ebullient, efficient, volitient",✅
stucmy,stummy,stummy,"stummy, stunk, stunningly",✅
clexrkship,clerkship,clerkship,"clerkship, aftership, vicarship",✅
flakcian,flacian,flacian,"flacian, lycian, grecian",✅
somcatotypy,somatotypy,somatotypy,"somatotypy, typy, prototypal",✅
profesorling,professorling,professorling,"professorling, unprofessorial, profeminism",✅
qhayful,quayful,quayful,"quayful, changeful, tunful",✅
absmpere,absampere,absampere,"absampere, abstract, lampern",✅
logorcacy,logocracy,logocracy,"logocracy, logolatry, prioracy",✅
cleyrkship,clerkship,clerkship,"clerkship, aftership, vicarship",✅
upred,upbred,upbred,"upbred, upright, unspared",✅
reamrry,remarry,remarry,"remarry, carry, reasty",✅
faradizateion,faradization,faradization,"faradization, solodization, clavelization",✅
hydrocherus,hydrochoerus,hydrochoerus,"hydrochoerus, hydrocharis, hydroconion",✅
pseudoblespis,pseudoblepsis,pseudoblepsis,"pseudoblepsis, pseudobiological, pseudocyesis",✅
creancr,creancer,creancer,"creancer, recreancy, crepis",✅
subtitualr,subtitular,subtitular,"subtitular, subadditive, subturriculate",✅
tichocarpous,trichocarpous,trichocarpous,"trichocarpous, ectocarpous, platycarpous",✅
topyotch,topnotch,topnotch,"topnotch, blotch, prematch",✅
unuhrtful,unhurtful,unhurtful,"unhurtful, gustful, pestful",✅
chiorboy,choirboy,choirboy,"choirboy, tomboy, teaboy",✅
chunkpness,chunkiness,chunkiness,"chunkiness, chunky, chunari",✅
dudken,dudeen,dudeen,"dudeen, inken, meeken",✅
rotle,rottle,rottle,"rottle, bottle, tzontle",✅
gedduck,geoduck,geoduck,"geoduck, gedeckt, bedrock",✅
prepen,preopen,preopen,"preopen, preponderously, pen",✅
angenetically,pangenetically,pangenetically,"pangenetically, metagenetically, pyrogenetically",✅
pseunolamellibranchiata,pseudolamellibranchiata,pseudolamellibranchiata,"pseudolamellibranchiata, siphonobranchiate, cryptobranchia",✅
sultury,sulfury,sulfury,"sulfury, culturally, uncentury",✅
chifwon,chiffon,chiffon,"chiffon, schiavone, chianti",✅
sistowns,sixtowns,sixtowns,"sixtowns, sistomensin, restow",✅
neurosuure,neurosuture,neurosuture,"neurosuture, neuropile, neuronal",✅
slaveer,slaverer,slaverer,"slaverer, slavian, sliverproof",✅
reptilivooous,reptilivorous,reptilivorous,"reptilivorous, punctilious, replicatile",✅
cacliclase,calciclase,calciclase,"calciclase, follicle, cacodylate",✅
guidepoit,guidepost,guidepost,"guidepost, guidwilly, undeposited",✅
llo,lolo,lolo,"lolo, manzanillo, balolo",✅
rsixer,sixer,sixer,"sixer, betwixen, rever",✅
lafi,safi,safi,"safi, ghafir, lane",✅
muscdi,muscid,muscid,"muscid, mustang, madi",✅
polyemid,polynemid,polynemid,"polynemid, polymeter, polygon",✅
carngeiea,carnegiea,carnegiea,"carnegiea, carnaged, carica",✅
irreversibiity,irreversibility,irreversibility,"irreversibility, reversibleness, irrespectability",✅
lenittude,lentitude,lenitude,"lenitude, lentitude, finitude",❌
futuize,futurize,futurize,"futurize, fuelizer, virtualize",✅
laibal,labial,labial,"labial, scribal, nontribal",✅
suxfficiently,sufficiently,sufficiently,"sufficiently, sufficiency, efficient",✅
resqpread,respread,respread,"respread, bread, resuspend",✅
pelegcypodous,pelecypodous,pelecypodous,"pelecypodous, dolichopodous, octopodous",✅
jeflutong,jelutong,jelutong,"jelutong, apitong, flung",✅
departmtntalize,departmentalize,departmentalize,"departmentalize, deorientalize, ornamentalize",✅
scientisnic,scientistic,scientistic,"scientistic, scientificogeographical, scotistic",✅
triakistetuahedron,triakistetrahedron,triakistetrahedron,"triakistetrahedron, tetrahexahedron, enneahedria",✅
ihoplomachy,hoplomachy,hoplomachy,"hoplomachy, theomachy, phyllostachys",✅
perpebtuator,perpetuator,perpetuator,"perpetuator, arborator, revelator",✅
physicothekologist,physicotheologist,physicotheologist,"physicotheologist, physiologist, paleichthyologist",✅
nephrtoxin,nephrotoxin,nephrotoxin,"nephrotoxin, diphtherotoxin, ichthyotoxin",✅
lgoating,gloating,gloating,"gloating, ting, lighting",✅
disalin,dialin,dialin,"dialin, semisaline, disarming",✅
polypragmaically,polypragmatically,polypragmatically,"polypragmatically, polemically, pragmatism",✅
geomanyc,geomancy,geomancy,"geomancy, geomantic, many",✅
ankicipatorily,anticipatorily,anticipatorily,"anticipatorily, unsatisfactorily, statutorily",✅
platycheairia,platycheiria,platycheiria,"platycheiria, platycarpous, platystencephalia",✅
doetically,docetically,docetically,"docetically, dramatically, telically",✅
ionsound,consound,unsound,"unsound, consound, runround",❌
differentilaly,differentially,differentially,"differentially, terentian, effervescingly",✅
personatin,personation,personation,"personation, impersonate, desonation",✅
podiatrhist,podiatrist,podiatrist,"podiatrist, mediatrice, agathist",✅
whiskrette,whiskerette,whiskerette,"whiskerette, whistness, farmerette",✅
nformularize,unformularize,unformularize,"unformularize, velarize, circularizer",✅
giraffdid,giraffoid,giraffoid,"giraffoid, paraffle, girt",✅
toothvpaste,toothpaste,toothpaste,"toothpaste, toothplate, toothwork",✅
termae,thermae,thermae,"thermae, zerma, terminus",✅
belwhistle,bewhistle,bewhistle,"bewhistle, unthistle, newcastle",✅
priscmatoid,prismatoid,prismatoid,"prismatoid, cometoid, primatal",✅
rutmytoo,rumtytoo,rumtytoo,"rumtytoo, ruta, ruthenous",✅
reprobation,reprobation,reprobation,"reprobation, replantation, repromise",✅
hxylographic,xylographic,xylographic,"xylographic, homographic, zoographic",✅
propessimim,propessimism,propessimism,"propessimism, nonassimilable, propylite",✅
chmapa,champa,champa,"champa, hatchman, buchmanite",✅
misshapelness,misshapenness,misshapenness,"misshapenness, misshape, grapeless",✅
opaicfier,opacifier,opacifier,"opacifier, defier, mollifier",✅
pwdologistically,pedologistically,pedologistically,"pedologistically, pedologist, cabalistically",✅
undisargmed,undisarmed,undisarmed,"undisarmed, undisobeyed, undizened",✅
unformularzie,unformularize,unformularize,"unformularize, unforestallable, infortunate",✅
irsaeli,israeli,israeli,"israeli, armatoli, irena",✅
smiuliidae,simuliidae,simuliidae,"simuliidae, ariidae, anomiidae",✅
cheelrfulize,cheerfulize,cheerfulize,"cheerfulize, cheese, demoralize",✅
ectogntha,ectognatha,ectognatha,"ectognatha, melolontha, ectobronchium",✅
cyclgostomate,cyclostomate,cyclostomate,"cyclostomate, stomate, cyclometer",✅
diallin,dialin,dialin,"dialin, dialkyl, bilin",✅
oscrurantist,oscurrantist,oscurrantist,"oscurrantist, schematist, scrumption",✅
horea,chorea,chorea,"chorea, pandorea, hectorean",✅
giganitcal,gigantical,gigantical,"gigantical, galvanical, gigot",✅
cyanuramtde,cyanuramide,cyanuramide,"cyanuramide, cyanoacetic, manurial",✅
sporidpole,sporidiole,sporidiole,"sporidiole, sporangiole, spor",✅
innominablfes,innominables,innominables,"innominables, indeterminably, uninclinable",✅
postpositve,postpositive,postpositive,"postpositive, postpredicament, postbox",✅
hristolatry,christolatry,christolatry,"christolatry, logolatry, epistolarily",✅
cobitxidae,cobitidae,cobitidae,"cobitidae, canidae, ariidae",✅
benefiviary,beneficiary,beneficiary,"beneficiary, unbenefitable, confidentiary",✅
hysophyllum,hypsophyllum,hypsophyllum,"hypsophyllum, lithophyllous, cladophyll",✅
groupldt,grouplet,grouplet,"grouplet, grapeless, coupled",✅
fcvous,favous,favous,"favous, bivious, zygous",✅
excrexta,excreta,excreta,"excreta, exoarteritis, excogitable",✅
stomadching,stomaching,stomaching,"stomaching, stomate, etching",✅
livoerydom,liverydom,liverydom,"liverydom, bogydom, moviedom",✅
heteroprotide,heteroproteide,heteroproteide,"heteroproteide, heteroerotic, heterotic",✅
gynecocratxic,gynecocratic,gynecocratic,"gynecocratic, gonococcoid, socratic",✅
untrciked,untricked,untricked,"untricked, untrumped, untransported",✅
cotitform,cottiform,cottiform,"cottiform, cominform, cystiform",✅
rupelike,ruelike,ruelike,"ruelike, runelike, gatelike",✅
laoid,aloid,placoid,"placoid, aloid, maioid",❌
biectinated,bipectinated,bipectinated,"bipectinated, pectinacea, zonated",✅
ccrropodous,cirropodous,cirropodous,"cirropodous, octopodous, carpodetus",✅
saxponic,saxonic,saxonic,"saxonic, saponi, hypophonic",✅
affectxer,affecter,affecter,"affecter, affectate, afflicting",✅
siki,ski,ski,"ski, shaikiyeh, sie",✅
uneqasy,uneasy,uneasy,"uneasy, unexactly, unexercise",✅
nonflaimable,nonclaimable,nonclaimable,"nonclaimable, unframable, nonassimilable",✅
overrefalism,overrealism,overrealism,"overrealism, overfall, overfatigue",✅
patoia,patola,patola,"patola, patina, pathic",✅
aersant,aversant,aversant,"aversant, persalt, caressant",✅
elmpusa,empusa,empusa,"empusa, campus, gumpus",✅
bluethdoat,bluethroat,bluethroat,"bluethroat, billethead, blurbist",✅
canonilke,canonlike,canonlike,"canonlike, canidae, cantonal",✅
yplunderer,plunderer,plunderer,"plunderer, putterer, blunderbuss",✅
esmorrhexis,desmorrhexis,desmorrhexis,"desmorrhexis, celiorrhea, blennorrhea",✅
ovnerthwartways,overthwartways,overthwartways,"overthwartways, barways, swart",✅
attnet,attent,attent,"attent, attitude, tartness",✅
pltaydactylous,platydactylous,platydactylous,"platydactylous, megalodactylous, dactylis",✅
pomhmy,pommy,pommy,"pommy, anthemy, hippomancy",✅
